id,title,jenis,nomor,tahun,status,dicabut_oleh
D0220,"Peraturan Daerah Kota Banjarbaru Nomor 3 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,3,2018,Berlaku,
D0221,"Peraturan Daerah Kota Bogor Nomor 47 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,47,2018,Berlaku,
D0222,"Peraturan Daerah Kabupaten Blora Nomor 9 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,9,2018,Berlaku,
D0223,"Peraturan Daerah Kabupaten Luwu Timur Nomor 8 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,8,2018,Berlaku,
D0224,"Peraturan Daerah Kabupaten Blitar Nomor 8 Tahun 2018,""PERATURAN DAERAH",PERATURAN DAERAH,8,2018,Berlaku,
D0225,"Peraturan Presiden Nomor 118 Tahun 2018,""PERATURAN PRESIDEN",PERATURAN PRESIDEN,118,2018,Unknown,
D0226,"Peraturan Menteri Kesehatan Nomor 77 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,77,2017,Berlaku,
D0227,"Peraturan Menteri Pertahanan Nomor 41 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,41,2017,Berlaku,
D0228,"Peraturan Menteri Perdagangan Nomor 05/M-DAG/PER/2/2017 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,05/M-DAG/PER/2/2017,2017,Berlaku,
D0229,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 1 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,1,2017,Berlaku,
D0230,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 2 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,2,2017,Berlaku,
D0231,"Peraturan Menteri Sosial Nomor 2 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,2,2017,Berlaku,
D0232,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.21/MENLHK/SETJEN/KUM.1/3/2017 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,P.21/MENLHK/SETJEN/KUM.1/3/2017,2017,Berlaku,
D0233,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 3 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,3,2017,Dicabut,"Peraturan Menteri Desa, Pembangunan Daerah Tertinggal, dan Transmigrasi Nomor 1 Tahun 2022"
D0234,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.24/MENLHK/SETJEN/KUM.1/4/2017 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,P.24/MENLHK/SETJEN/KUM.1/4/2017,2017,Berlaku,
D0235,"Peraturan Menteri Pertanian Nomor 18/PERMENTAN/TU.110/5/2017 Tahun 2017,""PERATURAN MENTERI",PERATURAN MENTERI,18/PERMENTAN/TU.110/5/2017,2017,Berlaku,
